xs,ys,zs
290,190,0.9441654205383927
300,190,0.8900457738267047
310,190,0.8392657819444412
320,190,0.7933681795082833
330,190,0.7537473429465535
340,190,0.7216069230770308
350,190,0.6979232727859289
0,200,0.7538171003356847
10,200,0.7500219324542247
20,200,0.7538225834492409
30,200,0.7651036511364642
40,200,0.7835224354000603
50,200,0.8085193509622342
60,200,0.839334930098733
70,200,0.8750328986813369
80,200,0.9145286243934693
90,200,0.9566220727342836
100,200,1.000034269459726
110,200,1.0434461615677486
120,200,1.0855386960563036
130,200,1.125032898681337
140,200,1.1607287349420026
150,200,1.191541572521723
160,200,1.2165351372922795
170,200,1.2349499615294184
180,200,1.2462264599553448
190,200,1.2500219324542245
200,200,1.2462209768417887
210,200,1.234938995302306
220,200,1.216518687951611
230,200,1.1915196400674986
240,200,1.1607013193742217
250,200,1.125
260,200,1.0855003142614106
270,200,1.0434022966592993
280,200,0.9999849214377206
290,200,0.9565672415987219
300,200,0.9144683101443515
310,200,0.8749671013186631
320,200,0.8392636496225029
330,200,0.808442587372448
340,200,0.7834401886967178
350,200,0.7650159213195656
0,210,0.8316117157420106
10,210,0.8290165823613969
20,210,0.8316171988555668
30,210,0.839334625481313
40,210,0.8519344415531646
50,210,0.8690338681972929
60,210,0.8901133988938973
70,210,0.9145325844199265
80,210,0.9415494925746376
90,210,0.9703432514140804
100,210,1.0000389910297327
110,210,1.0297344260279653
120,210,1.0585272710151485
130,210,1.0855426560827608
140,210,1.1099597092868516
150,210,1.1310364984266779
160,210,1.1481325742791886
170,210,1.1607284303245828
180,210,1.1684412876890322
190,210,1.1710367256870657
200,210,1.1684358045754761
210,210,1.1607174640974705
220,210,1.14811612493852
230,210,1.1310145659724533
240,210,1.1099322937190708
250,210,1.0855097574014239
260,210,1.0584888892202555
270,210,1.029690561119516
280,210,0.9999896430077273
290,210,0.9702884202785188
300,210,0.9414891783255198
310,210,0.9144667870572525
320,210,0.8900421184176672
330,210,0.8689571046075066
340,210,0.8518521948498222
350,210,0.8392468956644145
0,220,0.9145237505147527
10,220,0.9132075913781927
20,220,0.9145292336283088
30,220,0.918448598507107
40,220,0.9248466675133854
50,220,0.9335290987196674
60,220,0.9442321317533261
70,220,0.9566306020220375
80,220,0.9703478206753773
90,220,0.9849670201049264
100,220,1.0000440172171592
110,220,1.015120709711972
120,220,1.029738995289262
130,220,1.0434546908555027
140,220,1.0558510288022758
150,220,1.0665513202791563
160,220,1.0752304006938207
170,220,1.0816245096736417
180,220,1.085539305291143
190,220,1.086855769045123
200,220,1.085533822177587
210,220,1.0816135434465295
220,220,1.0752139513531522
230,220,1.0665293878249318
240,220,1.055823613234495
250,220,1.0434217921741658
260,220,1.029700613494369
270,220,1.0150768448035228
280,220,0.9999946691951538
290,220,0.9849121889693647
300,220,0.9702875064262595
310,220,0.9565648046593637
320,220,0.944160851277096
330,220,0.9334523351298811
340,220,0.9247644208100431
350,220,0.9183608686902085
0,230,1.000034117151016
10,230,1.000037011016504
20,230,1.0000396002645722
30,230,1.0000418848952206
40,230,1.0000438649084493
50,230,1.000045540304258
60,230,1.000046911082647
70,230,1.0000479772436164
80,230,1.000048738787166
90,230,1.0000491957132955
100,230,1.0000493480220054
110,230,1.0000491957132955
120,230,1.000048738787166
130,230,1.0000479772436164
140,230,1.000046911082647
150,230,1.000045540304258
160,230,1.0000438649084493
170,230,1.0000418848952208
180,230,1.0000396002645724
190,230,1.0000370110165042
200,230,1.000034117151016
210,230,1.0000309186681084
220,230,1.0000274155677809
230,230,1.0000236078500335
240,230,1.0000194955148665
250,230,1.0000150785622794
260,230,1.0000103569922727
270,230,1.0000053308048462
280,230,1.0
290,230,0.9999943645777339
300,230,0.999988424538048
310,230,0.9999821798809424
320,230,0.999975630606417
330,230,0.9999687767144718
340,230,0.9999616182051069
350,230,0.9999541550783221
0,240,1.0855447884046994
10,240,1.0868667352722354
20,240,1.0855502715182554
30,240,1.0816354759007543
40,240,1.075241366920933
50,240,1.0665622865062687
60,240,1.0558619950293882
70,240,1.043465657082615
80,240,1.0297499615163743
90,240,1.0151316759390845
100,240,1.0000549834442716
110,240,0.9849779863320387
120,240,0.9703587869024896
130,240,0.9566415682491498
140,240,0.9442430979804384
150,240,0.9335400649467797
160,240,0.9248576337404977
170,240,0.9184595647342193
180,240,0.9145401998554211
190,240,0.9132185576053049
200,240,0.9145347167418649
210,240,0.9184485985071069
220,240,0.9248411843998291
230,240,0.933518132492555
240,240,0.9442156824126575
250,240,0.9566086695678129
260,240,0.9703204051075964
270,240,0.9849341214235894
280,240,1.000005635422266
290,240,1.015076844803523
300,240,1.0296896472672565
310,240,1.0433998597199412
320,240,1.055790714553158
330,240,1.0664855229164825
340,240,1.0751591202175905
350,240,1.0815477460838556
0,250,1.1684577370297005
10,250,1.1710586581412903
20,250,1.1684632201432568
30,250,1.1607503627788074
40,250,1.1481545067334131
50,250,1.1310584308809024
60,250,1.1099816417410762
70,250,1.0855645885369856
80,250,1.0585492034693733
90,250,1.0297563584821898
100,250,1.0000609234839573
110,250,0.9703651838683051
120,250,0.9415714250288623
130,250,0.9145545168741511
140,250,0.890135331348122
150,250,0.8690558006515176
160,250,0.8519563740073893
170,250,0.8393565579355378
180,250,0.8316391313097916
190,250,0.8290385148156216
200,250,0.8316336481962354
210,250,0.8393455917084254
220,250,0.8519399246667207
230,250,0.8690338681972929
240,250,0.8901079157803411
250,250,0.9145216181928142
260,250,0.9415330432339691
270,250,0.9703213189598558
280,250,1.0000115754619519
290,250,1.0297015273466281
300,250,1.0584888892202555
310,250,1.0854987911743115
320,250,1.109910361264846
330,250,1.1309816672911162
340,250,1.1480722600300706
350,250,1.1606626329619087
0,260,1.2462538755231256
10,260,1.2500548311355617
20,260,1.246259358636682
30,260,1.2349828602107553
40,260,1.2165680359736166
50,260,1.1915744712030603
60,260,1.1607616336233395
70,260,1.1250657973626739
80,260,1.0855715947376405
90,260,1.0434790602490858
100,260,1.000067168141063
110,260,0.9566549714156205
120,260,0.9145615230748062
130,260,0.8750657973626739
140,260,0.8393678287800699
150,260,0.8085522496435711
160,260,0.7835553340813971
170,260,0.7651365498178011
180,260,0.7538554821305777
190,260,0.7500548311355616
200,260,0.7538499990170215
210,260,0.7651255835906887
220,260,0.7835388847407285
230,260,0.8085303171893464
240,260,0.839340413212289
250,260,0.8750328986813369
260,260,0.9145231412799131
270,260,0.9566111065071712
280,260,1.0000178201190575
290,260,1.043424229113524
300,260,1.0855112804885227
310,260,1.125
320,260,1.1606903531471096
330,260,1.191497707613274
340,260,1.216485789270274
350,260,1.2348951303938567
0,270,1.3165695973243436
10,270,1.3214551852533567
20,270,1.3165750804378997
30,270,1.3020776410663304
40,270,1.278403433915242
50,270,1.246271847950893
60,270,1.2066592360594974
